SID,DOM_TYPE,DESL_MEAN,CLAT_MEAN,CLON_MEAN,YEAR_START,MONTH_START,DAY_START,AREA_MAX,AREA_MEAN,OVERLAP_MEAN,DURATION,BI_MAX,BI_MEAN,Z500_MAX,Z500_MEAN,PERC_RIDGE,PERC_OMEGA,PERC_HYBRID,PERC_REX,PERC_POLAR
2019091,Omega block,,54.60470639073379,-104.58151404259286,2019,7,29,11290876,3215681.814814815,0.7365,27,3.5675048828125,1.6949764066600888,5974.0,5869.303703703704,0.3333333333333333,0.48148148148148145,0,0.14814814814814814,0.0
2019092,Ridge,,48.89185425867966,-102.06345081217397,2019,8,1,1452107,1152890.25,0.831,4,1.9958019256591797,1.4448135693464996,5887.8,5882.625,1.0,0.0,0,0.0,0.0
2019093,Rex block (polar),,76.26338801949632,23.778290288783435,2019,8,3,2635652,1984309.8,0.7165,5,1.257920265197754,0.3534212336202277,5680.0,5630.6,0.0,0.0,0,0.0,1.0
2019094,Omega block,,61.55262845292473,108.26906652722951,2019,8,5,1496134,1020821.2,0.5812499999999999,5,3.2640576362609863,2.4313472112019854,5835.0,5815.24,0.0,1.0,0,0.0,0.0
2019095,Rex block,,70.22101576894954,65.53435317203693,2019,8,7,5914307,2730940.7,0.6323333333333333,10,2.5410890579223633,1.0405264203723494,5786.5,5740.180000000001,0.0,0.2,0,0.8,0.0
2019096,Ridge,,49.50234615100265,36.11037352444847,2019,8,11,1224576,939194.3333333334,0.607,6,2.6036858558654785,2.0366326255930796,5912.5,5892.583333333333,1.0,0.0,0,0.0,0.0
2019097,Rex block,,68.94721266226342,-92.36297824189423,2019,8,18,1138792,892079.25,0.6829999999999999,4,2.4247169494628906,1.4726491596784208,5718.5,5664.4,0.0,0.0,0,1.0,0.0
2019098,Omega block,,51.26141958026659,29.966370309562347,2019,8,18,7027143,4344582.785714285,0.8234615384615385,14,3.743469715118408,1.8448033578990461,5953.8,5896.792857142857,0.35714285714285715,0.6428571428571429,0,0.0,0.0
2019099,Ridge,,47.9285259983252,-103.79816058258037,2019,8,20,2365019,1347967.8,0.5645000000000001,5,2.734196186065674,1.5791367205544034,5898.5,5882.26,1.0,0.0,0,0.0,0.0
2019100,Rex block,,66.79330047126608,61.67883146288042,2019,8,29,2982365,1742665.5,0.7066363636363637,12,2.898895740509033,1.496254552544647,5833.8,5729.341666666667,0.0,0.08333333333333333,0,0.9166666666666666,0.0
2019101,Rex block (polar),,77.44782769772623,-62.76753496666113,2019,8,30,3013887,1882510.4285714286,0.7318333333333333,7,1.6552925109863281,0.4796624231137433,5613.0,5555.728571428571,0.0,0.0,0,0.14285714285714285,0.8571428571428571
2019102,Rex block,,70.79184493194175,-169.89231764308767,2019,8,30,1171496,1006701.0,0.668,4,1.8335700035095215,0.77756793738645,5623.2,5578.400000000001,0.0,0.0,0,1.0,0.0
2019103,Ridge,,49.30015109586679,-26.40132138892135,2019,9,4,1509463,1335028.75,0.7236666666666668,4,2.646005153656006,2.0905440825003163,5925.8,5905.325,1.0,0.0,0,0.0,0.0
2019104,Ridge,,51.08485516840183,8.19691350250763,2019,9,9,4002510,2056878.8461538462,0.7381666666666667,13,3.8735389709472656,2.2941369370788407,5960.8,5883.299999999999,0.6153846153846154,0.38461538461538464,0,0.0,0.0
2019105,Rex block (polar),,77.4429231847268,-26.52984302311681,2019,9,12,4936029,2351557.3333333335,0.6862682926829269,42,2.9456496238708496,0.5299901328858707,5618.5,5474.128571428572,0.0,0.0,0,0.2619047619047619,0.7380952380952381
2019106,Ridge,,48.92509416360365,-86.21037494099085,2019,9,16,1355051,1012302.6666666666,0.5796,6,3.180539608001709,2.352267461542246,5868.5,5855.416666666667,1.0,0.0,0,0.0,0.0
2019107,Ridge,,48.36177559317431,99.7478063449796,2019,9,20,1778220,1124447.5,0.8006,6,3.700077533721924,2.6849532145175456,5856.2,5830.2,1.0,0.0,0,0.0,0.0
2019108,Rex block,,70.03956215773783,-22.32210617945129,2019,9,21,2812918,1883898.0,0.67575,13,4.233896732330322,1.9780216095501464,5784.0,5662.115384615385,0.0,0.0,0,0.8461538461538461,0.15384615384615385
2019109,Ridge,,49.606290942041944,-152.2887901200291,2019,9,26,1127888,893599.25,0.5693333333333334,4,3.9878249168395996,3.2949223118734032,5913.5,5882.125,1.0,0.0,0,0.0,0.0
2019110,Rex block,,58.96706541815858,-118.6722758466637,2019,9,29,1239594,883224.0,0.8013333333333333,4,2.830934524536133,2.047392362820787,5719.8,5671.7,0.0,0.0,0,1.0,0.0
2019111,Ridge,,51.92968143929206,67.61752293374647,2019,10,4,2295610,1483943.25,0.5476666666666666,4,3.6643028259277344,2.6922201987027856,5797.8,5784.724999999999,0.75,0.25,0,0.0,0.0
2019112,Ridge,,48.601933129179535,-160.12307771741396,2019,10,4,2368507,1551595.3333333333,0.5284,6,3.056168556213379,2.114827164606041,5846.2,5819.283333333333,1.0,0.0,0,0.0,0.0
2019113,Rex block (polar),,74.56259045248336,-5.3863332069650856,2019,10,8,2940283,2558618.5,0.7559999999999999,4,2.1294474601745605,0.7287079495213427,5540.8,5488.125,0.0,0.0,0,0.0,1.0
2019114,Ridge,,47.6223400687496,-63.95304046606994,2019,10,9,2681395,1713672.0,0.65675,5,4.395711421966553,2.876691602474032,5868.8,5825.46,1.0,0.0,0,0.0,0.0
2019115,Rex block,,69.92271701636754,-19.65608694320238,2019,10,14,1125130,891066.8333333334,0.6532,6,1.7595171928405762,0.8467343340178672,5542.5,5466.366666666666,0.0,0.0,0,0.8333333333333334,0.16666666666666666
2019116,Ridge,,47.65083125316241,27.87693714813953,2019,10,14,3355655,2286844.7333333334,0.817642857142857,15,3.917539119720459,2.1110577923219696,5874.0,5825.533333333334,1.0,0.0,0,0.0,0.0
2019117,Rex block (polar),,82.4860885476768,31.268674220507986,2019,10,25,1914917,1068166.3076923077,0.7148333333333333,13,1.1371850967407227,0.1718992356835344,5334.0,5254.484615384616,0.0,0.0,0,0.0,1.0
