SID,YEAR,MONTH,DAY,TYPE,CLON,CLAT,DESL,LATMIN,LATMAX,LONMIN,LONMAX,JUL,AREA,AREA_PER_PREV,AREA_PER_DUR,STEP,DURATION,BI_MAX,BI_MEAN,Z500_MAX,Z500_MEAN
2020066,2020,7,13,Ridge,-30.040150833703045,48.12146336476549,1956.5661295382713,45.0,55.0,-60.0,2.5,195,3603730,0.536,0.133,2,11,1.9396543502807617,1.3666864803859167,5935.5,5858.8
2020066,2020,7,14,Ridge,-30.821623741250946,48.486328139838086,70.61816846366888,45.0,55.0,-57.5,-7.5,196,3377227,0.8,0.854,3,11,2.2794365882873535,1.6793229363181374,5969.0,5882.9
2020066,2020,7,15,Ridge,-26.266889669605742,47.78784839283733,346.73974721978055,45.0,52.5,-57.5,-2.5,197,3168148,0.758,0.808,4,11,1.6952872276306152,1.277396131734379,5938.8,5864.1
2020066,2020,7,16,Ridge,-18.756472167309273,48.01963353420994,560.2169999847857,47.5,50.0,-40.0,0.0,198,1135571,0.31,0.864,5,11,1.4863014221191406,1.1798929084431042,5889.2,5857.3
2020066,2020,7,17,Ridge,-18.094094534919634,47.93984980045075,50.0944943244326,47.5,50.0,-45.0,2.5,199,1292150,0.869,0.764,6,11,1.4873862266540527,1.27687406539917,5876.5,5851.6
2020066,2020,7,18,Ridge,-30.558438263815912,48.09632167848197,926.2210860517307,47.5,50.0,-40.0,-17.5,200,720562,0.404,0.724,7,11,1.626431941986084,1.3160943984985352,5885.2,5855.2
2020066,2020,7,19,Ridge,-24.877875547672772,48.25974428564576,421.4909602123937,47.5,50.0,-35.0,-12.5,201,770221,0.648,0.607,8,11,1.649153232574463,1.3816150029500325,5882.5,5851.3
2020066,2020,7,20,Ridge,-20.761569672101373,48.139261268210646,305.3404018815406,47.5,50.0,-30.0,-10.0,202,618711,0.671,0.835,9,11,1.29014253616333,1.1431723833084106,5860.0,5839.4
2020066,2020,7,21,Ridge,-6.380118835309907,47.5,1074.54838046206,47.5,47.5,-27.5,15.0,203,939472,0.675,0.444,10,11,0.9450554847717285,0.7947325706481934,5854.8,5835.9
2020066,2020,7,22,Ridge,-2.9935464428973764,47.5,254.3866474558223,47.5,47.5,-17.5,12.5,204,678507,0.722,1.0,11,11,0.8806824684143066,0.723419739649846,5842.0,5830.2
2020067,2020,7,16,Rex block (polar),-26.473361388063566,79.75078625877094,,77.5,87.5,-67.5,-2.5,198,882769,,,1,4,0.5203008651733398,0.21406071526663645,5592.5,5558.2
2020067,2020,7,17,Rex block (polar),-27.81014278227463,79.35776195854714,51.34090375529786,77.5,87.5,-45.0,17.5,199,953084,0.867,0.803,2,4,0.49442052841186523,0.07071518430522844,5561.5,5528.9
2020067,2020,7,18,Rex block (polar),-9.03721562441999,81.26146498978471,407.4670061266689,77.5,87.5,-32.5,22.5,200,751818,0.718,0.911,3,4,0.17033815383911133,0.03939651581178229,5554.5,5511.9
2020067,2020,7,19,Rex block (polar),-5.6487008480634415,81.11772936350329,59.87300529615461,77.5,87.5,-32.5,22.5,201,527385,0.701,1.0,4,4,0.18166303634643555,0.054565116540709536,5552.0,5511.3
2020068,2020,7,18,Omega block,20.119590275442395,58.86721168709399,,55.0,62.5,12.5,27.5,200,800746,,,1,26,2.1670937538146973,1.689971685409546,5782.2,5764.7
2020068,2020,7,19,Omega block,33.31066057763957,64.1934394569338,913.2586980536908,57.5,70.0,17.5,50.0,201,1173564,0.582,0.397,2,26,2.639615535736084,2.130814961024693,5783.2,5760.2
2020068,2020,7,20,Rex block,45.2976341959972,66.8533135057732,625.0482860706372,65.0,70.0,30.0,62.5,202,1026363,0.486,0.556,3,26,2.4793028831481934,2.2963976158815274,5788.0,5767.0
2020068,2020,7,21,Rex block,49.049331213223326,68.13012194196631,213.61998637992025,62.5,75.0,32.5,67.5,203,1374281,0.815,0.609,4,26,2.6567578315734863,2.2505434191956812,5787.2,5733.7
2020068,2020,7,22,Rex block,46.705157440360296,70.49481993355101,278.5508445116161,62.5,87.5,-35.0,62.5,204,2205991,0.76,0.474,5,26,2.2472023963928223,0.9154324278686986,5764.2,5616.2
2020068,2020,7,23,Rex block (polar),49.99816612883837,72.63066573395975,264.1366551458297,65.0,87.5,-42.5,110.0,205,4191153,0.819,0.431,6,26,2.1134376525878906,0.6631915385906513,5779.5,5649.7
2020068,2020,7,24,Rex block (polar),43.850290008056845,73.3561940509965,215.48395198231074,65.0,87.5,-80.0,72.5,206,3696334,0.659,0.747,7,26,1.9455671310424805,0.8240018704140833,5774.0,5666.4
2020068,2020,7,25,Rex block (polar),40.776325104920794,73.80771988291042,108.86015532989548,67.5,87.5,-75.0,72.5,207,3310566,0.851,0.95,8,26,2.159583568572998,0.8806543177868946,5766.2,5692.2
2020068,2020,7,26,Rex block (polar),43.31034813294378,74.77538378012146,131.87527987091673,65.0,87.5,-90.0,100.0,208,3996751,0.863,0.715,9,26,2.37656831741333,0.7726374073563335,5767.0,5706.9
2020068,2020,7,27,Rex block (polar),45.74415739708908,77.43573348639622,302.80794463272383,65.0,87.5,-85.0,107.5,209,3583049,0.767,0.856,10,26,2.0325183868408203,0.5675650435271941,5750.5,5695.5
2020068,2020,7,28,Rex block (polar),66.05761087946277,78.07453542505974,481.77059602406905,72.5,87.5,-130.0,172.5,210,3380665,0.645,0.684,11,26,1.4762163162231445,0.49064159393310547,5757.5,5666.4
2020068,2020,7,29,Rex block (polar),59.92138343677271,77.74988979602738,147.2981506962086,72.5,87.5,-70.0,120.0,211,4019032,0.828,0.696,12,26,1.8127799034118652,0.5479302925941272,5760.5,5656.3
2020068,2020,7,30,Rex block (polar),64.02981778970411,72.82402888385504,559.5503576852933,65.0,87.5,-2.5,115.0,212,3765726,0.653,0.697,13,26,1.7539143562316895,0.6409388442226893,5747.0,5670.8
2020068,2020,7,31,Rex block,92.6231613571642,69.77783538670893,1062.0479247977737,60.0,87.5,20.0,130.0,213,4252560,0.762,0.675,14,26,2.092278003692627,0.8888153625386102,5756.2,5672.0
